feature,values
MSSubClass,C20|C30|C40|C45|C50|C60|C70|C75|C80|C85|C90|C120|C150|C160|C180|C190
MSZoning,A|C|FV|I|RH|RL|RP|RM
Street,Grvl|Pave
Alley,Grvl|Pave|CNA
LotShape,Reg|IR1|IR2|IR3
LandContour,Lvl|Bnk|HLS|Low
Utilities,AllPub|NoSewr|NoSeWa|ELO
LotConfig,Inside|Corner|CulDSac|FR2|FR3
LandSlope,Gtl|Mod|Sev
Neighborhood,Blmngtn|Blueste|BrDale|BrkSide|ClearCr|CollgCr|Crawfor|Edwards|Gilbert|IDOTRR|MeadowV|Mitchel|NAmes|NoRidge|NPkVill|NridgHt|NWAmes|OldTown|SWISU|Sawyer|SawyerW|Somerst|StoneBr|Timber|Veenker
Condition1,Artery|Feedr|Norm|RRNn|RRAn|PosN|PosA|RRNe|RRAe
Condition2,Artery|Feedr|Norm|RRNn|RRAn|PosN|PosA|RRNe|RRAe
BldgType,1Fam|2FmCon|Duplx|TwnhsE|TwnhsI
HouseStyle,1Story|1d5Fin|1d5Unf|2Story|2d5Fin|2d5Unf|SFoyer|SLvl
OverallQual,C1|C2|C3|C4|C5|C6|C7|C8|C9|C10
OverallCond,C1|C2|C3|C4|C5|C6|C7|C8|C9|C10
RoofStyle,Flat|Gable|Gambrel|Hip|Mansard|Shed
RoofMatl,ClyTile|CompShg|Membran|Metal|Roll|Tar&Grv|WdShake|WdShngl
Exterior1st,AsbShng|AsphShn|BrkComm|BrkFace|CBlock|CemntBd|HdBoard|ImStucc|MetalSd|Other|Plywood|PreCast|Stone|Stucco|VinylSd|Wd Sdng|WdShing
Exterior2nd,AsbShng|AsphShn|BrkComm|BrkFace|CBlock|CemntBd|HdBoard|ImStucc|MetalSd|Other|Plywood|PreCast|Stone|Stucco|VinylSd|Wd Sdng|WdShing
MasVnrType,BrkCmn|BrkFace|CBlock|CNone|Stone
ExterQual,Ex|Gd|TA|Fa|Po
ExterCond,Ex|Gd|TA|Fa|Po
Foundation,BrkTil|CBlock|PConc|Slab|Stone|Wood
BsmtQual,Ex|Gd|TA|Fa|Po|CNA
BsmtCond,Ex|Gd|TA|Fa|Po|CNA
BsmtExposure,Gd|Av|Mn|No|CNA
BsmtFinType1,GLQ|ALQ|BLQ|Rec|LwQ|Unf|CNA
BsmtFinType2,GLQ|ALQ|BLQ|Rec|LwQ|Unf|CNA
Heating,Floor|GasA|GasW|Grav|OthW|Wall
HeatingQC,Ex|Gd|TA|Fa|Po
CentralAir,N|Y
Electrical,SBrkr|FuseA|FuseF|FuseP|Mix
KitchenQual,Ex|Gd|TA|Fa|Po
Functional,Typ|Min1|Min2|Mod|Maj1|Maj2|Sev|Sal
FireplaceQu,Ex|Gd|TA|Fa|Po|CNA
GarageType,2Types|Attchd|Basment|BuiltIn|CarPort|Detchd|CNA
GarageFinish,Fin|RFn|Unf|CNA
GarageQual,Ex|Gd|TA|Fa|Po|CNA
GarageCond,Ex|Gd|TA|Fa|Po|CNA
PavedDrive,Y|P|N
PoolQC,Ex|Gd|TA|Fa|CNA
Fence,GdPrv|MnPrv|GdWo|MnWw|CNA
MiscFeature,Elev|Gar2|Othr|Shed|TenC|CNA
MoSold,C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12
SaleType,WD|CWD|VWD|New|COD|Con|ConLw|ConLI|ConLD|Oth
SaleCondition,Normal|Abnorml|AdjLand|Alloca|Family|Partial
